,text,aspect,label
71,grocerry varities,&grocerry,0
72,good and excellent service,Good,2
73,its about the lowest vasilescu pro solutions text the scene that should have the overlay over before fades away,fades,1
74,love everything about notion but you guys have such terrible,app,2
75,the delivery very haphazard,delivery,0
76,packaging biscuits bakery and dairy products very poor,dairy products,0
77,and editing video that long requires more speed and that something that difficult for most users,speed,1
78,journals gtd cookbooks whatever,"GTD,",2
79,the product really good but the needs optimisation,app,0
80,when click the reading notes the table reading list like direct directly the page the reading note,table,1
81,cuando agregaran idioma espanol,cuando,2
82,time maintenance and hard working your team,Time maintenance,2
83,have used notion desktop wanted try out iphone however the already does not open first time downloading,app,0
84,this sucks,app,2
85,best productivity tools,Productivity,2
86,very practical for organizing tasks and connecting the team well stimulating productivity large scale,connecting,2
87,varying product ranges,product ranges,2
88,send the insulated bag for milk,milk,0
89,good afternoon team just want cancel this subscription please are getting billing coming into our accounts but have idea which email linked,subscription,1
90,delivery process full surprises,Delivery process,0
91,little timelapse video organising notionhq and outlining novel,organising,1
92,when try copy the link page gives option share other apps,apps,0
93,super useful relational database,database,2
94,not need old account anymore and unfair pay for,pay,0
95,supr daily bag was not provided assured the time joining,Supr daily bag,0
96,its per scene the music plays the first scene and for scenes and the video plays the background music volume set now,scene,1
97,each and every time need wait for milk until morning,milk,0
98,just found this accidentally and easy use make any mind mapping just using the bullet points and will generate,app,2
99,not put raw fruits like gava chiku mosambi for delivery becoz,Mosambi,0
100,this deserve more download,app,2
101,can not get the previews load whether its with istock videos from yur library own,previews,0
102,delighted your apt reply from support team via email within minutes notionhq,support,2
103,notionhq can you expand the header cells support please,support,1
104,have just started working with this software decided download the,"PC,",2
105,then click your profile icon the right and the projects page,project,0
106,the notion website application awesome but find the not easy use,notion website application,2
107,you want make the most out this browse templates online that suit your work flow best,app,2
108,startup seems getting slower and slower,Startup,0
109,want edit videos one screen,edit,1
110,the new update took away the ability swipe tasks delete complete reschedule,tasks,0
111,proper delivery since week,delivery,0
112,there could sync easy move evernote files yrs notion,Evernote,1
113,free delivery became now paid and then service for other milk products not acceptable and should immediately revoke,delivery,0
114,great for creating tasks and tracking them,tracking,1
115,have reinstall but performed same,reinstall,1
116,but does not even start,even,2
117,where insulated bag that you promised,insulated bag,0
118,can not rearrange properties table windows desktop,desktop.,0
119,iphone does not work next the first screen does not,Iphone,0
120,have always been evernote user but decided try notion out after seeing some people praising twitter,Notion,0
121,have set templates that populate each day when,templates,1
122,one incidence supply communication for five days,communication,0
123,for subscriptions ensure delivery happens daily its not even miss single day now that you even charge extra for each delivery,delivery,0
124,the new update much improves experience but more needs done make the more usable and much stronger competitor other productivity apps,productivity apps.,0
125,learn about this site from product management class accidentally found that there are apps although this lesson not how understand but least website and still help lot,website,1
126,absolutely phenomenal this freaking love this much might join this company one day,app,0
127,please provide free delivery for the products,free delivery,0
128,features access curated templates full access image library full access standard video library istock images and videos free access creator club premium templates,free,1
129,will need swap monthly can upgrade annual after pay,pay,2
130,easy use for cataloguing items,cataloguing items,2
131,just uploaded image the logo section,logo,1
132,offers for regular subscribers,offers for regular subscribers,0
133,notion amazing desktop but near unusable,app.,2
134,productivity does not have the ability send push notifications time,push notifications,0
135,historical research which leads use characters from various languages for page titles,search,1
136,can you please help and give access more istock clips,access,1
137,also widgets,WIDGETS!,0
138,started with chrome for the web clipper since most notion users are chrome but safari certainly the list,Safari,1
139,this can the greatest thing,app,0
140,versatile that need spreadsheet chart even just shopping list for snacks can create that,"chart,",2
141,that one area where this fails,app,0
142,this most likely due the size the database,database,1
143,look the layers panel the text locked unlock then,text,1
144,you mean invideo itself does not work mobile,mobile?,1
145,prompt customer friendly quick customer service for complaints,customer service,2
146,think would nice have plan that does not renew each moth,renew,1
147,pour les notes vous etes plutot evernote msonenote notionhq,les,1
148,tried that but the export seemed get stuck,stuck,0
149,colums mobiles and ios,ios,0
150,can screen but the overlay with the spinning circle never goes away and not able click the page,"screen,",1
151,love notion the mac seriously the best,Notion,2
152,rly good but after one the updates deleting the row with the swipe has disappeared and shame,updates,0
153,you have long product list but availability very poor,availability,0
154,one more question have pay separate enterprise license for every workspace use,workspace,1
155,the packing,packing,2
156,have spent endless hours many apps trying understand their features workflows settings etc and making life fit them,settings,1
157,but never started with black screen comes automaticaly before running into the first image,image,1
158,please share screenshot the left panel with text tab selected,screen,1
159,milk delivery boy telling will not door delivery milk you will have keep bag near society security cabin,delivery boy,0
160,prompt and timely delivery,timely delivery,2
161,even your customer care team confirmed that they will check the issue and still response,customer care,0
162,not optimised for tablet,optimised,0
163,this not only really behind the desktop version but bugs keep popping including regressions,desktop,1
164,love the desktop version but this wait time mobile making think should uninstall,desktop version,2
165,there way delete tasks new update,delete,0
166,want create notion form this pdf but can only create just checkboxes normal text cells,checkboxes,1
167,also love that can use this for managing small business from operations product development marketing and customer experience,app,2
168,but when you start explore and engage more through the gets really easy and truly life saver,"app,",2
169,notion amazing both useful and beautiful tool and this enough for using phone for,Notion,2
170,great help our projects stay track,projects,2
171,nice however would like request zoom feature for mobile users let zoom into photos,app,0
172,what about images color,images,1
173,not just note taking,note,2
174,the workspace was named amoshh workspace,workspace,1
175,packets milk and butter are dirty,butter,0
176,prompt delivery professional delivery partners products are good quality with some exceptions which redressed timely,"delivery,",2
177,remove sound from video clip,remove sound,1
178,can sign log,sign,0
179,would nice able the equivalent sql where rollup,Rollup.,2
180,request generate scim api token for workspace daf,API,1
181,introduction delivery fees per pack milk delivery paves way for customers buy directly from shops milk vendor delivery,milk delivery,0
182,when click the button have through survey,"button,",1
183,better quality fruits and vegetables eggs,quality of fruits,0
184,does this mean will not charged vat,charged,0
185,multiple and large variety catelog items,variety catelog of items,2
186,timely delivery easy use reasonable rates,app,2
187,airtable amazing because the views but you can not use kanban view the ipad preferable use the web version safari take advantage,web version,1
188,signed today and cancelled subscription and would like refund,cancelled,1
189,items rate and availability,Items rate,2
190,the fifth star when offer made for families the pricing structure suitable for companies,companies,1
191,get better service and deliver and not charge for deliveryb,deliver,0
192,use the digital todo list organize collaboration small teams,teams,1
193,every time try edit page create link the tools keyboard flash for half second and close back down,edit,0
194,what originally happened was that had large amount information and text which organised into different pages topic operations topic,organised,0
195,love the way the tables work,tables,2
196,initially rupees was charged extra milk subscription and this was subsequently returned super credits,milk subscription,0
197,and switching com,switching,1
198,wonder notion site searchable when search google naver for yoke randomly specified notion site title,searchable,1
199,smart delivery,Smart,2
200,you can increase your stock most the time when are need anything like milk even out stock what the meaning order things till,milk,0
201,the drag the video the canvas when you will show you trimmer,trim,1
202,would possible give access the beta version notion,Beta,1
203,adjusting that volume and nothing happening even tied downloading,downloading,0
204,enter the italian language,language,1
205,update works properly after following techadvice,Update,1
206,promptness ontime price,Price,2
207,lot people are asking for more customizable color options our timeline view,timeline,0
208,condition milk packets has not been consistently good,milk packets,0
209,about some charges,charges.,0
210,will refund but please cancel the plan once and let know,cancel,2
211,try direct contact with the customer not through,direct contact with the customer,0
212,quality the veggies and fruits are hopeless,fruits,0
213,delivery guy must leave the milk bag the door and not the building gate,milk,0
214,awesome please please can you make widget that will allow lists stuff for today week etc like microsft does would make this perfection,widget,0
215,consistently for days not recieve milk and was notified the morning that milk will not delivered,milk,0
216,browser version great,Browser version,2
217,why takes forever load the video for preview editing,load,0
218,but would like adjust resize remove background etc,background,1
219,will another vote for notionhq been using them for organization for awhile now and just,organization,1
220,today asked login mobile,mobile.,1
221,overall good with amazing service have not found any issues with,app.,2
222,hope this will fixed also hope you pomodoro timer into the,pomodoro timer,0
223,bread comes squeezed with broken pieces butter comes fully melted because their proper ice box,butter,0
224,hello working project that requires displaying large amount json,data.,1
225,was not aware was deleting the whole journal,journal,1
226,possible get more discount for annually membership,membership.,1
227,would hate for its owner lose some their notes can avoided,notes,0
228,you told from the timeline,timeline,1
229,google docs and sheets have this,sheets,0
230,could crop some scenes but not preview,scenes,1
231,want close down support email address,email,1
232,fantastic and very capable,app,2
233,this screenshot what looks like,screen,0
234,still wonderful for managing work but the latest update rough,update,0
235,love this pieces,app,2
236,using iphone,Iphone,1
237,aesthetic database text tiled header more,header,1
238,does that only appear when video has been exported,exported,1
239,really love the design and functionality this,app,2
240,however they have done great job adding preset templates that help you get idea the potential,app,2
241,will send screen shot,screen,1
242,when suprdaily came society and put promotional canopy was promised that there would delivery charge ever,Suprdaily,0
243,the drafts can not removed from home page,removed,1
244,this the which was looking for,app,2
245,while the task option makes sense and got,task,2
246,your sidebar section displays parent pages within your workspace,workspace,1
247,how can embed image from link gallery template,gallery,1
248,need more offers coupons milk subscriptions,offers,0
249,can remove team member from,team,0
250,letting know advance you able deliver milk not,milk,0
251,stuck the splash screen,app,0
252,the scrolling through the screen,screen.,0
253,you continue use like bulls piss etc you will not get any more help from,off,0
254,nice for startup small company,company,1
255,have problem with the password,password,0
256,hello until now have tried this the windows desktop and the web chrome and edge,Desktop,2
257,files are not uploading,uploading.,0
258,heard great things however there android widget for notion which very disappointing rely quick view layout for fast notes,Android Widget,0
259,hello hrishikesh how does white labeling with invideo video editing software work,editing,1
260,great desktop dark mode and other functionalities are missing mobile,app,2
261,slow gets stopped the system the time maybe because uses lot ram and takes forever start sometimes never starts,App,0
262,love airtable but really wish the ipad had feature parity with the web version specifically with grouped views,iPad,0
263,functional easy use and collaborate with others good for work and home,collaborate,2
264,would you mind sending screen recording when you tried copy the contents and you can not copy,recording,1
265,timely delivery very good customer care,"Timely delivery,",2
266,the name was class notes think,notes,1
267,excellent productivity,app!,2
268,very inconvinient work with web links email addresses stored notion such copy from there paste somewhere else,Notion,0
269,its per scene the music plays the first scene and for scenes and the video plays the background music volume set now,volume,0
270,heard about this podcast,app,2
271,would like the back ground music for scene three also but there music for that scene,music,1
272,you can literally create entire workflow and productivity powerhouse within this one and delete the rest,workflow,2
273,criteria for order,order,2
274,what card has been charged,charged,0
275,have been using notion for two months now,Notion,2
276,need change delivery instructions customer service able help,Customer service,0
277,the great literally can recommend anyone,recommend,2
278,trying reset password for another account and tried send reset email but,reset,0
279,widgetss,widgets,0
280,more than months and still green bag has not come,green bag,0
281,please grant support access using the account you used reach out,support,1
282,the last number the web link when have the project open,web,1
283,supr daily promised give bag for keeping milk the morning one month subscription,bag,0
284,many items either not there the list some items the list can not ordered like amul butter gms kellogg cornflakes,Kellogg's cornflakes,0
285,this troubling times would like have products delivered however service has been erratic,products delivered,0
286,you can cancel your plan from subscription plan page from your laptop and desktop,cancel,1
287,would better can the project dashboard not only show percentage,project,1
288,crashes while setting and loading,setting,0
289,mobile phone can never set traditional chinese please pay attention the mobile phone group,Mobile,0
290,notion great but the android really does not feel that well designed,Notion,2
291,hello have subscribe for lift time plane but getting watermark project,watermark,1
292,concerning you should properly map premium plans unlimited,premium,0
293,lost added mobile version,Mobile,0
294,what going there are serious issues using this software incognito window not previews not loading editing trim video function and previewing videos with missing clips when can expect this addressed,editing,0
295,the best note taking,app!,2
296,sorry but the display cellphone getting really over zoom,display,0
297,the facebook videos are templates does this put black line next the video either side,Facebook,1
298,just found this accidentally and easy use make any mind mapping just using the bullet points and will generate,app,2
299,compared microsoft access this thing toy many pictures and not enough function,many pictures,0
300,the covid environment with remote working this has increased team productivity and has allowed greater oversight and efficiency our operations,efficiency,2
301,writing about canceling account not beein able take payment,"account,",0
302,spent years dba not going expect this have the raw power mariadb oracle but for little shared synchronized database airtable treat use,database,1
303,there are many bugs the latest version,bugs,0
304,sometimes tightens lately can not update,update,0
305,acts like version webpage whereas must default interface with loading and only the user edited information changing,webpage,0
306,vegetables quality need improve,Vegetables,0
307,missing offline mode,offline mode,0
308,overall good please widget feature for android widget make easier know our tasks home screen without open the,widget,0
309,already listed the link sent,listed,1
310,the video not uploading the video,upload,2
311,send the products that you have charged for,products,0
312,cash dilivery price items,dilivery,0
313,apke product price,product,0
314,being able write notes comput,notes,2
315,visa and billing address stargarder weg gottingen,Billing,1
316,supr access then automatically supr access should activated and help the customer for full month waiver service fees despite bringing the knowledge you nothing happened feel like discontinuing,"service fees,",0
317,please change the emojis android and please make the animation opening closing pages smoother android,"android,",0
318,not able use notion for mobile now,notion,0
319,you try the mobile first you might not like notion you should try the web desktop the full power notion and keep the mobile view and simple edits your projects,desktop app,2
320,however does not support widget which makes quickly adding tasks information difficult,widget,0
321,this works great but could you please please audio alert,audio,0
322,very useful note ever seen,app,2
323,think this will work but can you just wait few minutes download and check,download,2
324,got problem adding images from istock,images,0
325,delivery time,Delivery,2
326,evernote clips stuff just fine,Evernote,2
327,vistaplus workspace,Workspace,2
328,not opening just shows its logo centre and that,centre,0
329,products availability delivery delivery time discounts offers,"delivery time,",0
330,can you tell the best price you can offer for the unlimited plan year,offer,2
331,the best note taking have ever had,note taking app,2
332,want renew this year have not really used for the last year,renew,0
333,notion has have tasks lists sprint planning shared lists docs general notes one place,"shared lists,",2
334,best productivity tool,tool,2
335,switched incognito and that worked for while,incognito,1
336,like the ease setting inventory and the ability take pictures each item,inventory,1
337,think that airtable very wonderful tool bringing together some the best features different like tremolo slack and excel,excel,1
338,wish edit video already have gallery,gallery.,1
339,love this request the dev make something like widget the checklist todo will easier check them,widget,0
340,offline feature pleaseeee,offline,1
341,quality and time delivery,Quality,2
342,deliver the milk,milk,0
343,how you organize your valuable links,organize,1
344,overall good,app.,2
345,great organize your life and also keep list,app,2
346,tried adding son already has free account here the invite not his email and just went blurred screen for forever,email,0
347,sending good quality product though you people send good quality product only but sometimes customer face such issue and kindly lower the delivery fees,"quality product,",0
348,possible copy page with permissions,copy,1
349,best note taking,note taking app,2
350,timely and guaranteed deliveries payment gateway very poor failed transaction sometimes never get reverted,deliveries,0
351,understand that you want able the toggle todo number list one control unit,list,1
352,lowering stars because rating field does not appear android when trying customize field types,field,0
353,you have image editing software,edit,1
354,tried adding son already has free account here the invite not his email and just went blurred screen for forever,blurred,0
355,order receive,Order,2
356,the total cost list inventory,inventory,1
357,use the company,company,1
358,why getting stuck every time some uploaded image used,stuck,0
359,quality vegetables should improve,vegetables,0
360,absolutely entitled everything listed above,listed,2
361,may have accidentally edited the page,edited,0
362,column date format and try search the text field for after the sign everything disappears,text,1
363,and does not even open the offline,app offline.,0
364,not showing subscriptions for undelivered items,undelivered items,0
365,meeting your coworkers the notionhq office for the first time ever after you have been zooming for year,first time,1
366,the keyboard buggy split screen mode,keyboard,0
367,high service high prices products and vegetables are usually not good,"service fee,",0
368,videos some can over mins does that change the editing speed requirements,speed,1
369,your workspaces stay consistent,workspaces,2
370,else you can for business yearly plan with discount that will month,business,1
371,now have zoomable scene timeline you press ctrl and scroll down your keyboard the scenes below will compress give you the whole video view and then you can move the timeline marker play from specific spot,scene,1
372,could perhaps prove you university student then use personal email get the free benefits that university students can get notion,free,2
373,just uploaded video made youtube and there was copyright claim the music from your music library,music,0
374,you can use our timeline database,database,1
375,your tasks your hand,tasks,1
376,notion worked for time and now just stops the loading screen,Notion,0
377,the not show the sub tasks project which issue leading delay folow also not have reminder feather early,sub tasks,0
378,for couple months after the update the date has been you can not use,update,1
379,the price will for business yearly plan,price,0
380,yes this the only thing wanted widgets when saw this announcement,widgets,1
381,super versatile project managment research and base tool,tool!,2
382,try stick the notes phone for urgent stuff,phone,2
383,hopefully the developers can focus catering student welfare,student's welfare,0
384,will tell you what not like payments made your takes long time reflect and renew subcription,renew subcription.,0
385,fruit quality can improved,Fruit,0
386,sorry not wish discuss the matter can you cancel the subscription please,cancel,1
387,this great and continually getting better,"app,",2
388,best task manager,task,2
389,really want the billing subscription how that,subscription,0
390,best ever now,app,2
391,delivery inconsistent and action complaints delivery,Delivery,0
392,this not nearly enough and leaves lot whys why the only supported row height one line,row height,0
393,fell love with airtable and quickly felt inspired get team for project management,project management,1
394,are the items trash sorted chronically,Trash,1
395,ease the service provides,service,2
396,how remove uploded video audio,audio,1
397,try sale curd and chakka also,chakka,0
398,this account needs pricing model,pricing,1
399,but can not remove water mark,remove,1
400,however major issue for the swipe right from thr left edge access the drawer,left edge,0
401,forcing update ios,update,0
402,delivery related extra charges for milk packet delivery,milk,0
403,how cut scene half,scene,1
404,asked allow support access what caused you escalate the ticket,support,2
405,free plan you cannot use paid templates remove background option premium and istock media will with watermark,remove,1
406,super access illogically priced despite most the items sold mrp and reasonable profit already generated seller,Super Access,0
407,there images with editable text,images,1
408,can you send email link that you are attributed,email,1
409,haptics sound design and responsive gesture animation are like drug for,"Haptics,",0
410,are the process collecting notes from users about our new export pdf and will make sure your message gets included for our product team take heart,PDF,1
411,much the site deserves the stars much the application sorely lacks flexibility,flexibility,0
412,the video not uploading the video,uploading,0
413,the objective exporting filter view able select some clients and export them csv order send them out mass email send them caller make appointments,csv,2
414,however probably never going being horrendously slow launch and use,launch,0
415,giving proper reply service,service,0
416,but comes trial member,trial,1
417,you can easily import your notebooks but the flexibility notio,flexibility,0
418,this wonderful for keeping track stamps and supplies,keeping track,2
419,doesn work unless you share with your personal email and allow the share your private info from with the developers,email,1
420,notion great,Notion,2
421,tested the system out for company project aren happy with current system,project,0
422,hello create task and attach pdf from the will not let open with the,pdf,1
423,copy paste whole list dos from todoist,LIST,1
424,takes forever open phone,Takes,2
425,colleague used one your templates make youtube intro and outro video,YouTube,1
426,invideo branding watermark resolution custom font uploads make videos any language,font,2
427,notionhq for digital collaboration you are surprisingly behind the times with your remote hiring policy,collaboration,0
428,this piece about notionhq approach design and how they came back from the brink makes for great read,design,2
429,however you cannot new blocks afterward but you can delete existing content blocks free your storage,free,0
430,after years using variety task management apps asana has proven the best out there the market and for our property management company allowed work smoothly and efficiently through the pandemic,company,1
431,cluttered free plan doesnt not have proper daily tasks starting,free,0
432,best category,app,2
433,started notion not long ago and student and have university student account,student,1
434,most times not resolved for nachos and biscuits packets were open milkshake was missing,milkshake,0
435,customer service does not get back you,Customer service,0
436,works should dont like the lack options mobile opposed browser,mobile,0
437,great for organizing notes,app,2
438,extremely prompt quick resolution addressing greviance,&Quick resolution in addressing greviance.,2
439,good return procedure fast quality products good prices okay loved really,fast.quality of products,2
440,just such shame that the developers pay attention the ios,iOS app,0
441,use the categories and features the free version,free,1
442,can ask for invoice since the first time subscribed until now,first time,1
443,how can pay subscription,subscription?,1
444,improve the quality your supplies specially fruits and vegetables,fruits,0
445,needs better performance improvement,performance,1
446,but uninstall because bit laggy sidebar menu and material design,material design=(,0
447,using screen,screen.,1
448,best for daily tasks notes and scheduling,notes,2
449,parity pricing will increase access,pricing,0
450,have about years using this schedule and task control perfect from the basic version,task,1
451,your math,math,2
452,using the free version for being small group and compared others more intuitive and easier fill out,free,1
453,would love able calculate total time the bottom this column,column,1
454,however your android does not live the expectations,app,0
455,simply stays the first screen white with the logo,logo,0
456,takes alot time open phone,Takes,2
457,your delivery guy tries substitute amul cow with mother dairy cow,tries to,0
458,love the way this organise everything,app,2
459,device unfortunately limited android however,"android 6,",2
460,would you mind providing your university college educational email address and your school website please,school,2
461,there needs main calendar database that can display our assigned,There,0
462,how change language from germany english,language,1
463,reliability and zero delivery charges,delivery,2
464,the function search google,Google,1
465,many updates,updates,0
466,used this most the time record travel expenses,record,1
467,always hated excel,EXCEL,0
468,the best note taking,app.,2
469,excellent application visually the best and performance well,performance,2
470,you think for how outrageously expensive airtable year per user,expensive,0
471,amazing,app.,2
472,poor integration never stays signed,integration,0
473,are using shared database yep,shared,1
474,avoid delays improve more offers,Avoid,2
475,prompt delivery despite orders open till,delivery,2
476,when cancelled our delivery not receive our amount,"delivery,",0
477,how long does take refund the money,refund,1
478,improve the quality your supplies,quality,0
479,prompt delivery and best customer service,delivery,2
480,tried remove the password from the settings,password,0
481,jon was wondering notion ever runs any promotions know anyone for your team pricing,pricing.,1
482,regularity and timely delivery products,products,2
483,starting from scratch and will not give preview whether use videos yours,preview,0
484,how test the upload speed,load,0
485,you people deliver expired milk and paneer planning file case,paneer..,0
486,this has the best feature other apps plus some that have not around like embedding links,links.,2
487,quality fruits and vegetables and variety products,vegetables,0
488,since you are free plan the video will exported with istock watermark,watermark,1
489,unable download,download,0
490,the vegetables which you guys deliver sometimes not fresh,vegetables,0
491,for that have created projects timeline attached image workspace which layout the project key steps tasks stages and the people that are involved each step,layout,1
492,notion has not been functioning recent does not respond,Notion,0
493,love notion but the android completely unusable,android app,0
494,just hoped was missing section the website,website.,0
495,you mean changing email your bank end,email,1
496,timely service fresh goods,Timely,2
497,whenever launch license resell videos video resolution full access editing,resell,2
498,dear team are intrested buying your product please send your price list,list.,2
499,started using your platform some weeks ago but realised not for unfortunately,platform,0
500,overall what this brings great,app,2
501,the potential but the android needs more work,Android app,0
502,want edit the project now and another istock video file number and then render just the last stock file will count towards limit not the other ones again right,"render,",1
503,time delivery skip,time delivery,0
504,must say that quest for ultimate knowledge note organizing done,knowledge,2
505,terrible connection between devices very difficult follow the thread,connection,0
506,want learn for the future whether team something wrong whether teammate accidently deleted the file therefore would good get the mailadress kaiser got hacked whether there was failure the notion system,file,1
507,mitevpi notionhq using the time and have not been affected but have noticed that loading templates,templates,0
508,nice and handy but looks more like website wrapper,"app,",2
509,note making experience unparalleled,Note,2
510,would love purchase the full price for people staff but can not afford for the volunteers that need access,purchase,2
511,please put dark mode,dark mode,0
512,best note taking ever,note taking app..,0
513,please make the iphone responsive,Please make the iPhone app responsive.,0
514,quite good but could much better here what wrong bases can not link one another this restriction really holds back possibilities like say single crm base with customers tasks etc that shared any other bases offline support whatsoever cannot even view without connection bummer tedious and privacy invading pics attachments not want share entire icloud photo library want simply copy paste into attachment fields share menu also would handy images anything from other apps bases via ios share menu collapsible editable groupings fields form view and table view would fantastic reduce scrolling and organize vertical scrolling navigate between records huge hassle when there are many fields please next previous buttons allow swiping sideways navigate between records least option settings,Share,1
515,torn the phone version the,phone version,1
516,was focused buying the plan,plan,1
517,anywhere your roadmap atm,roadmap,1
518,its take much time open,Its,2
519,finally got email set account new review pending,email,1
520,got problem adding images from istock,istock,1
521,have not paid dime for this and has completely changed how run business,paid,2
522,missed delivery items multiple times but seem have improved last few days,delivery,0
523,transfering business stuff over new bank,business,1
524,please continue work the mobile,app.,2
525,this never opens for,app never opens,0
526,very bad tablet,tablet,0
527,prompt delivery and availability products,availability of products.,2
528,you should not charge delivery charge for milk when pay money advance,delivery charge,0
529,canceling order and saying not available when the item available your site,ORDER,0
530,what stays notion can never taken out using mobile,mobile app.,0
531,and the dark mode needs black theme appearance the dark mode grey which makes unattractive,dark mode,0
532,can create new account nor using google account,account,1
533,flexibility and time delivery,delivery.,2
534,just discovered that airtable isnt available for offline use,offline,0
535,love notion but disappointing that the mobile longer supports android,notion,2
536,but put none animation will still slide from left right,slide,0
537,reduce delivery service charges,service charges,0
538,asking about the option invideo share with twit already has account but what process plateform,share,1
539,delivery time features for vacation door bell product variety,Delivery,2
540,please not hesitate drop line again whenever you need help,drop,2
541,syncs across devices notes can shared easily,Syncs,2
542,incredible slow start useless have wait much,slow start,0
543,wanted there issue with the credit card function,credit,1
544,nope that dated wordpress theme site for movie motion design work,design,0
545,slow and freezes alot during use,slow,0
546,want download the video made after put card,download,1
547,reduce lag while typing significantly,lag,0
548,service you are taking that fine but cancelling few orders items that tok city like hyderabad mess,Service fee,0
549,unable copy text from notion and paste somewhere else,paste,0
550,punctuality genuine products mrp rates,MRP rates,2
551,but cancel can not reach customer support,customer support,0
552,you must abolish delivery charges immediately,delivery charges,0
553,this has massively improved the past year and the version god send,PC version,2
554,vegetable price must reduced,Vegetable,0
555,missing grouping inline urls long text and many other features others have pointed out,text,0
556,expected online deliveries cater during the lockdown days had and still having milk subscription pending with you,milk,0
557,would nice have tasks completed filter the recently completed tasks shows everyone tasks,tasks,1
558,great software but poor android,android,0
559,just tell you that love you much you revolutionized the way share notes and information,notes,2
560,you have coupons available,coupons,1
561,this great database but there way export files csv some other format the ios version,files,1
562,takes quite bit time rearrange everything create the view want that already existed the original instance the database,database.,0
563,have been playing around with notionhq support planning project management,support,1
564,hey android,Android 10,0
565,not allow order pin code containment area and can not delivered,PIN code,0
566,that turn the volume for just that one scene,volume,0
567,early morning delivery,morning Delivery,2
568,great desktop pretty terrible mobile offline mode font size very slow open can not select more than one line,"font size,",0
